ID	Keyword Value	Keyword Status	Pricing Type	Keyword Match Type	Destination URL
282163094005	accessories,ds,nintendo,$usd,(41174),2016,across,all,apple,cancel	ON	CPC	BROAD	http://www.miniinthebox.com/nintendo-ds-accessories_c623
282163093272	$19.99,$usd,2016,across,all,angle,back,camera,cancel,car	ON	CPC	BROAD	http://www.miniinthebox.com/night-vision-back-up-wide-angle-car-rear-view-camera_p4816843.html
282163096883	obd,$usd,(41174),2016,accessories,across,all,apple,cancel,categories	ON	CPC	BROAD	http://www.miniinthebox.com/obd_c9859
282162964875	arrivals,new,$usd,(41174),2016,accessories,across,all,apple,cancel	ON	CPC	BROAD	http://www.miniinthebox.com/new-arrivals_c4955
289291383378	$3.99,$usd,2016,3,5.1a,across,adapter,all,cancel,car	ON	CPC	PHRASE	http://www.miniinthebox.com/new-powerfully-charging-series-5-1a-3-usb-car-charger-adapter_p2513586.html
282163091263	$16.99,$usd,2016,across,all,automobile,cancel,categories,choose,cleaning	ON	CPC	BROAD	http://www.miniinthebox.com/oil-pollution-cleaning-automobile-engine-pipe-with-reinigungspistole-spray-gun-tool_p4815979.html
282163090732	cars,$42.99,$usd,2016,across,all,and,autophix®,cancel,categories	ON	CPC	BROAD	http://www.miniinthebox.com/obdmate-diagnostic-tool-obd2-obdii-eobd-code-reader-om510-gasoline-cars-and-a-part-of-diesel-cars_p1516838.html
282163094703	by,miniinthebox.com,new,products	ON	CPC	BROAD	http://www.miniinthebox.com/new-products/
282163091140	lighting,motorcycle,$usd,(41174),2016,accessories,across,all,apple,cancel	ON	CPC	BROAD	http://www.miniinthebox.com/motorcycle-lighting_c9904
282825712846	arrivals,new,$usd,(41174),2016,accessories,across,all,apple,cancel	ON	CPC	BROAD	http://www.miniinthebox.com/new-arrivals-2_c7499
282825712865	-,on,from,reviews,us,miniinthebox,and,my,with,youtube.com	ON	CPC	PHRASE	http://www.miniinthebox.com/html/miniinthebox-publicity.html
282162963628	gloves,motorcycle,$usd,(41174),2016,accessories,across,all,apple,cancel	ON	CPC	BROAD	http://www.miniinthebox.com/motorcycle-gloves-mini_c10292
282162971543	$2.99,$usd,1a/2.1a),2016,across,all,and,cancel,car,categories	ON	CPC	BROAD	http://www.miniinthebox.com/mini-dual-usb-car-charger-for-iphone-ipad-samsung-and-others-5v-1a-2-1a_p1813113.html
293745800725	&,atv,motorcycle,parts,$usd,(41174),2016,accessories,across,all	ON	CPC	BROAD	http://www.miniinthebox.com/motorcycle-atv-parts-mini_c10291
293745800774	fittings,motorcycle,$usd,(41174),2016,accessories,across,all,apple,cancel	ON	CPC	BROAD	http://www.miniinthebox.com/motorcycle-fittings_c9906
282162999598	accessories,motorcycle,$usd,(41174),2016,across,all,apple,cancel,categories	ON	CPC	BROAD	http://www.miniinthebox.com/motorcycle-accessories_c5219
282825712852	$7.99,$usd,2016,across,all,android,auto,bluetooth,cancel,car	ON	CPC	BROAD	http://www.miniinthebox.com/mini-v1-5-elm327-obd2-bluetooth-interface-auto-car-scanner-diagnostic-tool-for-android_p888488.html
282162995497	measuring,tools,$usd,(41174),2016,accessories,across,all,apple,cancel	ON	CPC	BROAD	http://www.miniinthebox.com/measuring-tools_c9861
282163000648	&,atv,motorcycle,$usd,2016,cheap,customer,dansk,deutsch,english	ON	CPC	BROAD	http://www.miniinthebox.com/motorcycle-atv_c9822
